series,n,mean,median,std,variance,min,max,range,q01,q05,q25,q50,q75,q95,q99,iqr,skewness,excess_kurtosis
VN-Index closing level (points),6179,688.589516353847,573.20001221,387.14550288825393,149881.64040659904,100.0,1766.85,1666.85,138.2134014884,175.267004392,400.96499634,573.20001221,994.28500366,1345.833959957,1649.6556000000007,593.3200073200001,0.5082315510810815,-0.7521082845446903
Daily change (points),6178,0.25880543865328587,0.32997131499999455,10.354061263307853,107.20658464433224,-94.75999999999999,74.03991699000017,168.79991699000016,-33.89888610410003,-16.020019529999917,-3.080017090000041,0.32997131499999455,4.559997560000042,15.381504156499986,28.288174135099826,7.640014650000083,-0.9219337449441437,8.456690997380738
Daily simple return (%),6178,0.05618817944513616,0.06721430084367652,1.435247721618371,2.059936022410725,-7.369960002503162,6.882636528097996,14.252596530601158,-4.3828489120256435,-2.2921995977127287,-0.5402214923852011,0.06721430084367652,0.7407904246389152,2.226234746213704,4.066802541223728,1.2810119170241163,-0.3029754446715098,3.468354179936469
Daily log return (%),6178,0.04584924046292934,0.06719172213752855,1.4384006387535044,2.0689963975664893,-7.6556690923729205,6.656119161068062,14.311788253440984,-4.481800800748876,-2.318878996015416,-0.5416859668833288,0.06719172213752855,0.7380600476266668,2.2018158885154127,3.986283904404642,1.2797460145099957,-0.4192322911236486,3.5811661929635363
Matched volume (shares),6179,224190455.9608351,77500000.0,328429908.370692,1.0786620471238115e+17,300.0,2804802252.0,2804801952.0,38000.0,101000.0,7408500.0,77500000.0,237718500.0,924375499.9999999,1337892222.080002,230310000.0,1.9985721302368988,4.5711431898727515
