time,open,high,low,close,55EMA,89EMA,200EMA,Volume
1347242400,463.92999268,464.54000854,452.63000488,455.58999634,,,,19762000
1347328800,449.60998535,453.98999023,449.60998535,453.39001465,,,,13464000
1347415200,453.20001221,457.48999023,452.75,453.95999146,,,,13243000
1347501600,453.86999512,456.10998535,452.3500061,456.10998535,,,,12861000
1347588000,463.13000488,465.92001343,460.16000366,463.8999939,,,,17440000
1347847200,464.17999268,472.47000122,464.17999268,468.32000732,,,,12868000
1347933600,470.13000488,473.64001465,459.26000977,460.44000244,,,,18361000
1348020000,454.23999023,460.94000244,454.23999023,457.13000488,,,,19379000
1348106400,453.89001465,454.70999146,445.3999939,449.66000366,,,,21442000
1348192800,452.27999878,457.52999878,452.27999878,457.52999878,,,,31534000
1348452000,455.45001221,457.92999268,453.83999634,454.51998901,,,,11339000
1348538400,455.25,459.1000061,453.51998901,456.51998901,,,,9221000
1348624800,457.70001221,463.75,457.63000488,460.23001099,,,,9851000
1348711200,461.85998535,462.8500061,455.39001465,458.38000488,,,,10035000
1348797600,456.61999512,458.3500061,454.67999268,456.48001099,,,,9501000
1349056800,454.82000732,455.26998901,450.42999268,451.54998779,,,,12025000
1349143200,451.23001099,452.25,448.6499939,448.97000122,,,,12514000
1349229600,450.52999878,452.58999634,447.3500061,450.44000244,,,,11155000
1349316000,450.48001099,451.57000732,448.16000366,449.61999512,,,,9268000
1349402400,450.44000244,453.20001221,449.6000061,453.20001221,,,,12707000
1349661600,452.48001099,460.26000977,452.48001099,460.26000977,,,,15114000
1349748000,461.05999756,462.51000977,458.47000122,460.08999634,,,,14073000
1349834400,459.35998535,461.70999146,457.45001221,461.70999146,,,,14419000
1349920800,462.3999939,465.23999023,461.27999878,461.27999878,,,,17366000
1350007200,461.08999634,463.07000732,459.95001221,460.17999268,,,,21402000
1350266400,459.57000732,462.82000732,459.55999756,461.33999634,,,,15129000
1350352800,461.63000488,471.67999268,461.63000488,471.67999268,,,,16903000
1350439200,472.04998779,473.67001343,468.02999878,469.39001465,,,,14921000
1350525600,467.79000854,472.30999756,467.39001465,471.95999146,,,,17248000
