time,open,high,low,close,55EMA,89EMA,200EMA,Volume
1483408800,613.45,615.49,613.45,615,,,,0
1483410600,614.89,614.89,613.74,614.53,,,,0
1483412400,614.48,616.02,613.81,616.02,,,,0
1483414200,616.17,616.17,615.41,615.65,,,,0
1483416000,615.78,616.29,615.77,615.82,,,,0
1483417800,615.85,615.85,615.85,615.85,,,,0
1483423200,615.71,617.34,615.63,617.12,,,,0
1483425000,617.29,617.67,616.86,617.22,,,,0
1483426800,617.45,618.23,617.32,618.23,,,,0
1483428600,618.22,618.22,618.22,618.22,,,,0
1483495200,617.36,618.7,617.19,618.7,,,,0
1483497000,618.81,619.5,618.2,619.32,,,,0
1483498800,619.26,619.75,619.02,619.12,,,,0
1483500600,618.97,619.14,617.78,617.79,,,,0
1483502400,617.64,618.58,617.59,618.5,,,,0
1483504200,618.6,618.6,618.6,618.6,,,,0
1483509600,618.37,618.38,617.84,617.84,,,,0
1483511400,617.6,618.1,616.94,616.94,,,,0
1483513200,616.82,617.05,616.34,617.05,,,,0
1483515000,617.14,618.73,617.14,618.73,,,,0
1483581600,619.47,619.47,618.55,619.15,,,,0
1483583400,618.72,619.38,618.72,619.09,,,,0
1483585200,618.98,619.53,618.14,618.14,,,,0
1483587000,618.1,618.32,617.39,618.32,,,,0
1483588800,618.54,619.17,618.38,618.91,,,,0
1483590600,618.94,618.94,618.94,618.94,,,,0
1483596000,619.08,619.74,619.08,619.44,,,,0
1483597800,619.43,619.84,619.43,619.52,,,,0
1483599600,619.4,619.4,618.53,619.21,,,,0
1483601400,619.38,619.67,619.38,619.67,,,,0
1483668000,619.23,620.49,619.08,620.46,,,,0
1483669800,620.45,622.71,620.44,621.84,,,,0
1483671600,621.97,622.19,621.27,622.19,,,,0
1483673400,622.23,623.85,622.11,623.85,,,,0
1483675200,623.49,624.4,623.4,624.21,,,,0
1483677000,624.52,624.52,624.52,624.52,,,,0
1483682400,624.53,624.65,623.69,623.97,,,,0
1483684200,623.94,623.94,623.29,623.49,,,,0
1483686000,623.58,623.58,620.95,620.97,,,,0
1483687800,621.25,621.25,621.14,621.14,,,,0
1483927200,621.81,623.42,621.81,623.32,,,,0
1483929000,623.49,623.63,622.61,622.91,,,,0
1483930800,622.97,623.14,622.48,622.71,,,,0
1483932600,622.69,623.37,622.54,623.12,,,,0
1483934400,623.11,623.27,622.77,623.25,,,,0
1483936200,623.4,623.4,623.4,623.4,,,,0
1483941600,623.48,623.78,622.91,623.42,,,,0
1483943400,623.35,623.47,623.03,623.22,,,,0
1483945200,623.2,623.2,622.25,622.7,,,,0
1483947000,622.8,623.02,622.46,622.46,,,,0
1484013600,622.16,622.88,622.11,622.39,,,,0
1484015400,622.43,624.32,622.26,623.71,,,,0
1484017200,623.79,624.01,622.45,622.45,,,,0
1484019000,622.58,622.94,622.35,622.83,,,,0
1484020800,622.75,623.26,622.73,623.26,620.1532727272727,,,0
1484022600,623.38,623.4,623.38,623.4,620.2692272727272,,,0
1484028000,623.59,624.21,623.35,624.04,620.4038977272727,,,0
1484029800,624.02,624.1,623.19,623.19,620.5034013798701,,,0
1484031600,623.16,623.16,622.73,622.74,620.5832799020176,,,0
1484033400,623.01,623.01,622.75,622.75,620.6606627626599,,,0
1484100000,623.06,624.07,622.93,624.06,620.7820676639934,,,0
1484101800,624.23,625.07,623.8,624.31,620.9080652474222,,,0
1484103600,624.27,624.76,624.08,624.37,621.0317057743,,,0
1484105400,624.29,624.4,623.64,624.16,621.143430568075,,,0
1484107200,624.21,624.33,623.52,624.24,621.2540223335009,,,0
1484109000,624.28,624.29,624.28,624.29,621.3624501073044,,,0
1484114400,624.23,624.23,623.34,624.08,621.459505460615,,,0
1484116200,623.97,624.67,623.74,624.54,621.5695231227359,,,0
1484118000,624.48,625.5,624.34,625.42,621.7070401540667,,,0
1484119800,625.72,626.3,625.7,626.3,621.8710744342786,,,0
1484186400,627.1,627.54,626.79,626.79,622.0467503473401,,,0
1484188200,626.74,626.74,625.6,626.07,622.1904378349351,,,0
1484190000,626,626.32,626,626.16,622.3322079122588,,,0
1484191800,626.3,627.24,626.2,627.24,622.5074862011068,,,0
1484193600,627.29,627.29,626.3,626.51,622.6504331224958,,,0
1484195400,626.62,626.62,626.62,626.62,622.7922033681209,,,0
1484200800,626.69,626.69,626.08,626.18,622.9131961049737,,,0
