time,open,high,low,close,55EMA,89EMA,200EMA,Volume
1390788000,558.48,559.89,556.17,559.89,,,,109581393
1391652000,558.85,563.7,555.89,561.68,,,,170070818
1391738400,564.81,566.98,557.93,558.81,,,,215845898
1391997600,558.79,566.94,558.59,566.94,,,,170709229
1392084000,570.13,572.47,563.81,563.81,,,,222363383
1392170400,566.08,572.95,563.96,572.95,,,,188007670
1392256800,574.7,577.86,572.26,576.53,,,,224246672
1392343200,576.65,580.32,574.44,576.72,,,,176809367
1392602400,574.47,578.4,571.9,575.1,,,,267417268
1392688800,576.12,581.24,574.76,581.24,,,,266591016
1392775200,584.71,586.22,581.39,586.22,,,,284643993
1392861600,586.84,589.88,569.23,575.63,,,,380061084
1392948000,574.95,579.39,567.88,576.11,,,,185761159
1393207200,577.9,584.02,575.29,584.02,,,,167197556
1393293600,581.85,593.81,581.85,593.78,,,,302114215
1393380000,599.03,599.55,591.18,598.59,,,,277685761
1393466400,597.46,605.68,593.28,593.28,,,,314992156
1393552800,594.5,597.77,588.22,594.39,,,,189333343
1393812000,593.74,594.08,578.02,578.02,,,,214664819
1393898400,571.87,576.54,567.73,574.14,,,,196280010
1393984800,574.14,581.45,574.14,580.43,,,,124635544
1394071200,580.87,584.84,579.8,583.43,,,,248258951
1394157600,584.97,588.15,584.34,585.97,,,,158549049
1394416800,586.7,589.96,585.95,589.16,,,,135063877
1394503200,590.14,594.59,587.33,593.38,,,,184299190
1394589600,596.8,601.51,595.21,595.21,,,,211008131
1394676000,595.36,600.64,593.82,600.64,,,,166517410
1394762400,601.41,605.32,598.9,601.79,,,,239833284
1395021600,605.66,606.66,602.71,605.5,,,,256715422
1395108000,605.1,610.17,602.85,606.79,,,,278379643
1395194400,606.76,613.92,606.65,613.92,,,,350478614
1395280800,615.44,616.41,607.55,608.77,,,,307346373
1395367200,608.77,618.16,608.77,611.84,,,,402096358
1395626400,618.6,620.67,615.32,619.86,,,,229623327
1395712800,620.33,622.4,613.8,613.8,,,,338092728
1395799200,615.7,616.36,597.81,599.04,,,,351960280
1395885600,600.17,603.17,592.94,602.89,,,,171441547
1395972000,605.29,609.13,603.5,607.53,,,,173830068
1396231200,607.53,609.71,602.93,602.93,,,,171013881
1396317600,602.28,603.72,591.22,593.13,,,,228216873
1396404000,593.91,595.63,582.94,590.78,,,,185843118
1396490400,593.71,600.31,592.79,598.08,,,,142597704
1396576800,598.17,600.23,595.97,600.21,,,,234423267
1396836000,601.85,606.75,601.74,605.31,,,,162799368
1396922400,605.94,607.63,603.52,604.88,,,,194518607
1397095200,604.88,609.06,601.36,603.14,,,,156192912
1397181600,599.16,601.47,596.39,599.28,,,,193271424
1397440800,601.59,601.59,594.91,594.91,,,,170157252
1397527200,594.55,596.61,583.02,583.02,,,,222979607
1397613600,580.41,581.94,564.88,572.46,,,,218114620
1397700000,576.97,580.98,574,578.78,,,,130030296
1397786400,578.24,578.24,560.35,560.35,,,,185009872
1398045600,559.28,563.27,552.82,552.82,,,,135188247
1398132000,553.91,567.25,551.25,567.25,,,,149434096
1398218400,566.97,571.42,563.76,565.63,588.0138181818181,,,106215350
1398304800,565.33,567.3,563.26,565.38,587.2054675324674,,,68943044
1398391200,565.78,572.13,565.78,571.41,586.6413436920221,,,92139013
1398650400,571.71,573.01,565,565,585.8684385601642,,,77399769
1398736800,563.25,568.18,563.03,567.71,585.2199228973012,,,50246898
1399255200,567.62,567.94,552.32,552.68,584.0577827938262,,,106706543
1399341600,551.47,551.47,533.62,543.7,582.6164334083323,,,186008173
1399428000,545.18,549.46,541.49,547.16,581.3501322151776,,,71216860
1399514400,537.81,537.81,513.99,516.87,579.0472703503499,,,333655758
1399600800,511.66,527.73,511.66,527.15,577.1937964092659,,,183261107
1399860000,520.2,520.2,499.62,504.63,574.6022322517922,,,166134959
1399946400,495,505.03,495,500.23,571.9460810999425,,,141304636
1400032800,496.87,518.62,496.8,518.62,570.041578203516,,,130395602
1400119200,518.13,525.68,502.46,512.86,567.9993789819619,,,177367897
1400205600,511.31,519.92,508.71,519.31,566.2604725897489,,,99771664
1400464800,520.26,527.15,516.17,526.44,564.8383128544008,,,126770275
1400551200,523.89,528.26,519.65,528.24,563.5312302524579,,,108495254
1400637600,528.84,535.73,524.17,535.09,562.5154720291558,,,136990166
1400724000,534.11,538.43,531.85,531.85,561.4202765995432,,,131637437
1400810400,532.46,535.41,530.36,532.5,560.3874095781309,,,73249943
1401069600,531.93,535.45,527.09,534.5,559.4628592360548,,,57991679
1401156000,534.51,542.84,533.37,542.78,558.8670428347671,,,137009525
1401242400,544.92,550.14,544.92,549.69,558.539291304954,,,118974832
1401328800,548.88,555.41,546.38,549.13,558.2032451869198,,,119094223
1401415200,548.98,552.73,547.63,551.53,557.9649150016727,,,89419118
1401674400,549.44,551.43,542.56,545.32,557.5133108944701,,,77108091
1401760800,545.36,548.36,543.18,546.47,557.1189069339533,,,61697980
1401847200,546.89,547.06,536.81,538.64,556.4589459720264,,,76988497
1401933600,537.51,540.21,533.88,537.92,555.7968407587398,,,43258866
1402020000,539.73,543.87,538.64,543.87,555.3708821602133,,,65665800
1402279200,543.87,550.51,542.53,546.94,555.06977922592,,,129955476
1402365600,546.04,547.79,544.11,544.15,554.6797871107086,,,76768554
1402452000,544.77,549.92,544.73,549.84,554.5069375710405,,,87010235
1402538400,550.4,552.01,547.47,550.97,554.3806183720748,,,102320733
1402624800,551.09,554.66,549.92,552.3,554.3063105730721,569.5689887640449,,83983176
1402884000,554.08,554.91,552,552.62,554.2460851954623,569.1923445692884,,91503236
1402970400,551.89,556.27,550.99,555.06,554.2751535813387,568.8782924677487,,100869649
1403056800,554.45,556.84,553.64,553.64,554.2524695248624,568.5396637462431,,103748109
1403143200,548.4,551.75,543.41,549.29,554.075238470403,568.111893440771,,108334771
1403229600,551.28,553.75,544.34,544.34,553.7275513821743,567.5836291420873,,191246648
1403488800,545.59,548.73,545.59,546.17,553.457638832811,567.1077707167076,,304655134
1403575200,545.97,549.46,545.13,548.47,553.2795088744963,566.6935980341141,,108986695
1403661600,548.74,554.29,548.74,553.58,553.2902407004071,566.4021847444671,,97759890
1403748000,553.72,557.15,552.4,555.36,553.3641606753926,566.1568028612568,,137588018
1403834400,554.93,556.05,552.79,552.79,553.3436549369857,565.8597627976733,,88253640
1404093600,553.1,554.87,551.77,551.77,553.2874529749505,565.546656957725,,100706807
1404180000,552.33,556.41,552.03,553.48,553.2943296544165,565.2785090253311,,95579189
1404266400,554.16,557.93,553.57,556.22,553.3988178810445,565.0772088247681,,177027546
1404352800,557.83,562.29,557.83,562.29,553.7163600995785,565.0152708508845,,186937457
1404439200,563.07,567.38,563.07,565.56,554.1393472388793,565.027375943087,,167853294
1404698400,569.19,572.83,568.89,570.5,554.7236562660621,565.1489898110184,,128935670
1404784800,571.39,572.25,566.52,569.97,555.2681685422742,565.2561233707736,,113846726
1404871200,570.02,572.01,569.4,570.64,555.8171625229073,565.3757650736453,,130277288
1404957600,570.02,570.02,560.84,563.69,556.0983352899464,565.3383036275643,,146322939
1405044000,562.47,564.44,559.35,562.34,556.321251886734,565.2716746580629,,80708604
1405303200,563.41,566.61,561.93,566.61,556.6887071764935,565.3014152212171,,108905783
1405389600,568.9,571.29,568.9,569.93,557.1616104916187,565.4042726607456,,268356439
1405476000,574.47,575.67,570.75,570.75,557.6469101169181,565.523066601618,,192412121
1405562400,569.57,571.42,567.29,570.06,558.0902347555996,565.6238873438042,,73869641
1405648800,569.4,577.02,569.02,577.02,558.7662978000425,565.8771342917197,,267251893
1405908000,576.57,582.44,574.97,577.51,559.4357157357553,566.1356424185703,,134621770
1405994400,576.92,577.68,572.92,574.6,559.9772973166212,566.3237392537133,,98342629
1406080800,575.7,575.74,571.72,573.56,560.4623938410275,566.4845450480752,,73526583
1406167200,572.82,578.61,572.82,578.19,561.0955226324194,566.7446662692291,,78617738
1406253600,578.81,580.98,573.85,573.85,561.5510396812615,566.9025625743574,,97895193
1406512800,572.33,572.45,561.76,563.51,561.6210025497878,566.8271722949272,,133191460
1406599200,563.77,566.69,561.17,566.69,561.8020381730097,566.8241240217066,,70905373
1406685600,565.17,568.31,562.98,562.98,561.8441082382593,566.7386990434464,,86376672
1406772000,562.84,569.66,562.46,569.27,562.1093186583215,566.7949501758143,,74443622
1406858400,568.33,569.2,565.78,567.67,562.3079144205243,566.8143957274629,,70613241
1407117600,564.75,571.17,564.75,570.74,562.609060334077,566.9016313779637,,59531625
1407204000,571.82,575.94,571.25,575.94,563.0851653221456,567.102484014009,,105513260
1407290400,576.29,579.53,574.63,576.42,563.5614094177832,567.3095399248087,,96386820
1407376800,574.19,577.36,573.06,577.36,564.0542162242909,567.5328834820352,,70711700
1407463200,577.37,579.35,574.26,575.93,564.4783513591377,567.7194860713233,,111452288
1407722400,573.98,576.2,571.28,572.63,564.7694816677399,567.8286086030718,,73990519
1407808800,571.86,575.63,569.98,573.1,565.0670001796063,567.9457506341146,,68427993
1407895200,572.7,577.57,572.7,577.57,565.5135358874776,568.1596228422453,,92448197
1407981600,578.66,581.82,578.11,581.1,566.0701953200677,568.4471867790843,,148677592
1408068000,581.1,581.31,577.52,577.52,566.4791169157795,568.6488048506602,,82175370
1408327200,578.85,581.02,576.76,579.1,566.929862740216,568.8810536317567,,157417266
1408413600,580.11,581.47,576.79,577.39,567.3034390709225,569.0701413288288,,154105061
1408500000,577.63,580.95,575.69,577.73,567.6758162469611,569.2625826326325,,101541904
1408586400,577.4,584.6,577.4,581.61,568.1734656667124,569.5369696852407,,179178194
1408672800,582.64,588.46,582.64,586.29,568.8204847500441,569.9092592477909,,188004067
1408932000,589.62,593.5,589.03,591.78,569.6404674375425,570.3952757089511,,231356845
1409018400,594.69,598.54,593.11,596.51,570.6000936004874,570.9756029154188,,215610976
1409104800,598.89,601.9,593.27,596.76,571.5343759718986,571.5485895172984,,161611410
1409191200,596.13,601.05,595.59,597.67,572.4677911157594,572.1290653058029,,199765899
1409277600,600.2,605.79,597.52,604.6,573.6153700044823,572.8506416323406,,239774791
1409709600,608.44,611.97,606.83,607.37,574.8208925043223,573.6177384849552,,235681412
1409796000,606.9,608.91,604.31,606.8,575.9630034863108,574.3551220741784,,204789470
1409882400,606.63,608.23,605.11,607.08,577.0743247903711,575.0823415836411,,164299438
1410141600,609.8,611.36,607.88,608.51,578.1970274764292,575.825178437338,,190312047
1410228000,608.5,608.55,591.76,595.21,578.8046336379853,576.2559522498416,,339025919
1410314400,594.43,597.97,585.58,596.93,579.4519681509144,576.7153755331784,,145521936
1410400800,598.62,600.83,595.39,597.21,580.086183574096,577.1708116324411,,114457695
1410487200,598.25,602.09,596.67,602.09,580.8720341607354,577.7245713739424,,114490482
1410746400,602.92,605.91,600.77,600.77,581.5826757978521,578.2366920100769,,159539152
1410832800,599.03,601.09,593.54,599.96,582.2390088050716,578.7194321876308,,191336385
1410919200,601.11,604.25,598.09,598.95,582.8358299191763,579.169000361239,,405491112
1411005600,598.7,600.9,591.27,592.4,583.1774074220629,579.4630225754337,,190740446
1411092000,591.79,595.06,588.74,588.92,583.382500014132,579.6731776293129,,253630534
1411351200,593.31,596.31,588.15,588.15,583.5527678707701,579.8615514597726,,203614591
1411437600,588.19,596.55,588.04,592.25,583.8633833039569,580.1368503162221,,172203788
1411524000,591.32,594.78,588.13,590,584.0825481859584,580.3560314203061,,179632270
1411610400,589.16,589.95,580.08,589.86,584.2888857507456,580.567230722077,,155410019
1411696800,592.05,592.99,587.17,587.17,584.391782688219,580.7139589282531,,175522816
1411956000,587.69,587.69,582.31,582.31,584.3174333064969,580.7494265076252,,155299082
1412042400,580.66,585.3,577.84,583.25,584.2793106884078,580.8049948074557,,190271411
1412128800,587.38,593.78,587.38,592.81,584.5839781638218,581.0717727006233,,213985952
1412215200,593.87,596.91,591.45,596.79,585.0199075151139,581.4210666406095,,210622553
1412301600,596.36,600.33,595.61,597.45,585.4638393895741,581.7772651597071,,261573582
1412560800,597.11,601.87,596.87,600.83,586.0126308399465,582.2006592672692,,219679011
1412647200,600.57,601.45,597.97,598.73,586.4668225956627,582.5679779502187,,168011681
1412733600,597.52,600.64,594.79,598.39,586.8926503601034,582.9195784402139,,242102468
1412820000,600.16,602.08,596.6,596.6,587.2393414186712,583.2235878082091,,220092690
1412906400,595.38,597.86,591.19,591.79,587.4018649394329,583.4139525235822,,153990379
1413165600,590.81,593.05,587.06,590.92,587.5275126201675,583.5807535786138,,169369707
1413252000,590.92,592.6,582.28,582.28,587.3401014551615,583.5518479435335,,129286059
1413338400,581.28,583.45,576.09,582.65,587.1725978317629,583.5318068781216,,175767734
1413424800,581.23,581.34,565.46,566.59,586.4375050520571,583.1553222808301,,247361758
1413511200,566.37,569.99,557.86,568.53,585.7979513001978,582.8303151190339,,162721750
1413770400,568.85,574.37,566.11,570.69,585.2583816109051,582.560530338611,,96713760
1413856800,570.54,575.88,569.8,574.97,584.8909394105156,582.3918518866418,,110409828
1413943200,576.55,579.91,576.11,578.76,584.6719772887114,582.3111440669386,,107127396
1414029600,577.49,579.33,572.38,572.38,584.2329780998289,582.0904519765622,,133892192
1414116000,571.6,574.41,567.58,571.4,583.7746574534065,581.8528863770831,,82333038
1414375200,568.31,570.39,558.29,558.29,582.8644911157849,581.3292666798146,,104708870
1414461600,556.82,563.39,556.82,561.92,582.1164735759354,580.8979496424854,,110368204
1414548000,563.22,570.52,563.22,570.5,581.701599519652,580.6668840948746,,92952099
1414634400,570.99,572.68,569.06,569.82,581.2772566796643,580.4258422260996,,110587706
1414720800,571.07,580.26,569.72,580.26,581.240926083962,580.4221568432973,,127740339
1414980000,584.71,587.06,583.63,585.17,581.3812501523919,580.5276644690018,,203152824
1415066400,582.80999756,585.57000732,581.25,581.25,581.3765626469493,580.5437163696906,,64529000
1415152800,580.44000244,584.38000488,575.97998047,579.66998291,581.3156133706296,580.5243000705864,,82645000
1415239200,580.14001465,583.08001709,578.53997803,580.04998779,581.2704124570357,580.5137597976844,,50589000
1415325600,581.10998535,585.20001221,579.52001953,584.72998047,581.3939684574988,580.6074535904025,,80048000
1415584800,586.35998535,589.11999512,585.54998779,585.54998779,581.5423977193739,580.7172876837269,,86062000
1415671200,585.78997803,589.03997803,584.44000244,584.64001465,581.6530268954676,580.8044593940886,,92472000
1415757600,585.70001221,586.84997559,583.59002686,584.91998291,581.7697038959866,580.8959154722199,,73921000
1415844000,585.66998291,587.32000732,582.63000488,582.63000488,581.8004289311299,580.9344507923928,,89932000
1415930400,581.9699707,581.9699707,576.38000488,581.34002686,581.7839860000181,580.9434635938952,,94944000
1416189600,582.63000488,583.94000244,580.76000977,580.76000977,581.7474154203746,580.9393868422532,,61297000
1416276000,580.66998291,581.15002441,573.15997314,573.15997314,581.4407210532185,580.766510982203,,78625000
1416362400,573.64001465,575.53997803,569.26000977,569.26000977,581.0056956502464,580.5108109552652,574.4051998047,84729000
1416448800,572.80999756,575.76000977,571.07000732,574.42999268,580.7708491155947,580.3756816602594,574.4054464999766,105113000
1416535200,574.85998535,576.52001953,569.79998779,569.79998779,580.3790326396806,580.1406662409203,574.3596210401759,98217000
1416794400,566.86999512,568.36999512,562.35998535,563.60998535,579.7801380936206,579.7733177766776,574.2526594910199,72653000
1416880800,565.25,570.35998535,565.25,569.26000977,579.4044192249199,579.5396887098625,574.2029813843432,59018000
1416967200,570.44000244,571.7800293,562.27001953,563.45001221,578.8346189743871,579.1821403431989,574.0959866661905,100445000
1417053600,562.64001465,563.36999512,558.03997803,563.36999512,578.2823109795876,578.8307593382389,573.9892603821488,69377000
1417140000,563.04998779,565.07000732,560.38000488,560.59002686,577.6504436896023,578.4254097276113,573.8559346754607,90943000
1417399200,561.85998535,565.47998047,561.83001709,562.71002197,577.1168571996164,578.0761788885533,573.7450300714263,75383000
1417485600,563.41998291,564.35998535,562.32000732,562.32000732,576.5883982753444,577.7260417425854,573.6313482530041,63619000
1417572000,563.41998291,568.47998047,563.41998291,566.97998047,576.2452404965821,577.4872403809724,573.5651654889941,73356000
1417658400,567.21002197,572.64001465,567.21002197,570.95001221,576.0561252006328,577.3419686438397,573.5391440633325,72840000
1417744800,571.85998535,574.30999756,569.92999268,571.40002441,575.8898358866816,577.2099254386433,573.5178592906625,62125000
1418004000,570.45001221,571.13000488,565.65002441,567.59002686,575.5934141357286,576.9961499146734,573.4588758833922,74523000
1418090400,565.47998047,565.47998047,551.97998047,552.92999268,574.7840062265955,576.4613464205696,573.2546083888311,112544000
1418176800,551.5300293,560.09997559,548.27001953,560.09997559,574.2595765610027,576.0977604021125,573.123716520186,71975000
1418263200,555.13000488,561.59997559,552.84002686,554.71002197,573.5613781827526,575.6224773258433,572.9404956788907,60790000
